gender,mother_job,father_job,internet,freetime,absences,grade_1,grade_2,G3,school_support,family_support,extra_paid_class,extracurricular,higher_edu,romantic_rel
F,at_home,teacher,no,3,5,2,8,8,yes,no,no,no,yes,no
F,at_home,other,yes,3,3,7,8,8,no,yes,no,no,yes,no
F,at_home,other,yes,3,8,10,10,11,yes,no,yes,no,yes,no
F,health,services,yes,2,1,14,14,14,no,yes,yes,yes,yes,yes
F,other,other,no,3,2,8,12,12,no,yes,yes,no,yes,no
M,services,other,yes,4,8,14,14,14,no,yes,yes,yes,yes,no
M,other,other,yes,4,0,12,12,12,no,no,no,no,yes,no
F,other,teacher,no,1,4,8,9,10,yes,yes,no,no,yes,no
M,services,other,yes,2,0,16,17,18,no,yes,yes,no,yes,no
M,other,other,yes,5,0,13,14,14,no,yes,yes,yes,yes,no
F,teacher,health,yes,3,1,12,11,12,no,yes,yes,no,yes,no
F,services,other,yes,2,2,10,12,12,no,yes,no,yes,yes,no
M,health,services,yes,3,1,13,14,13,no,yes,yes,yes,yes,no
M,teacher,other,yes,4,1,11,11,12,no,yes,yes,no,yes,no
M,other,other,yes,5,0,14,15,16,no,yes,no,no,yes,yes
F,health,other,yes,4,5,16,16,16,no,yes,no,no,yes,no
F,services,services,yes,2,8,13,14,14,no,yes,yes,yes,yes,no
F,other,other,no,3,3,10,12,12,yes,yes,no,yes,yes,no
M,services,services,yes,5,9,7,6,6,no,yes,no,yes,yes,no
M,health,other,yes,1,5,10,11,11,no,no,yes,yes,yes,no
M,teacher,other,yes,4,0,12,14,14,no,no,no,no,yes,no
M,health,health,yes,4,0,12,14,14,no,yes,yes,no,yes,no
M,teacher,other,yes,5,1,14,14,15,no,no,no,yes,yes,no
M,other,other,yes,4,1,12,12,11,no,yes,no,yes,yes,no
F,services,health,yes,3,2,10,10,9,yes,yes,yes,yes,yes,no
F,services,services,yes,2,10,8,10,10,no,yes,yes,no,yes,no
M,other,other,yes,2,5,12,12,12,no,yes,yes,no,yes,no
M,health,services,yes,2,2,13,14,13,no,no,yes,no,yes,no
M,services,other,yes,3,3,12,12,12,yes,yes,no,yes,yes,no
M,teacher,teacher,yes,4,10,11,12,12,no,yes,yes,yes,yes,yes
M,health,services,yes,4,0,10,11,12,no,yes,yes,no,yes,no
M,services,services,yes,3,1,16,16,16,no,yes,no,yes,yes,no
M,teacher,at_home,yes,5,0,15,15,16,no,yes,no,yes,yes,yes
M,other,other,yes,3,0,10,11,12,no,no,no,yes,yes,no
M,other,other,yes,4,2,12,13,14,no,yes,yes,no,yes,no
F,other,other,no,5,2,10,9,8,no,yes,no,yes,yes,no
M,teacher,services,yes,4,1,14,15,16,no,yes,no,yes,yes,no
M,other,teacher,yes,4,6,14,14,14,no,yes,no,yes,yes,yes
F,services,health,yes,3,2,12,12,12,yes,yes,yes,yes,yes,no
F,at_home,other,no,3,8,14,13,12,yes,yes,yes,yes,yes,no
F,other,other,yes,3,20,9,10,10,no,yes,no,yes,yes,yes
M,teacher,other,yes,4,8,11,12,12,no,yes,no,no,yes,yes
M,services,teacher,yes,3,1,16,16,16,no,yes,no,yes,yes,no
M,services,services,yes,4,0,8,9,10,yes,yes,no,no,yes,no
F,other,at_home,yes,3,14,10,10,10,yes,no,no,yes,yes,no
F,other,other,yes,2,6,9,10,8,yes,yes,yes,yes,yes,yes
F,other,services,yes,3,9,12,12,12,no,yes,no,no,yes,no
M,health,services,yes,2,3,18,18,18,no,no,no,yes,yes,no
M,teacher,other,no,3,3,13,14,14,no,yes,yes,no,yes,no
F,services,teacher,yes,4,2,10,10,10,yes,yes,no,yes,yes,no
F,services,services,yes,3,1,13,13,13,no,yes,yes,no,yes,no
F,health,other,yes,3,1,14,14,14,no,yes,yes,no,yes,no
M,health,health,no,5,5,10,10,10,no,no,no,no,yes,no
F,services,services,yes,3,0,10,11,12,yes,yes,yes,no,yes,no
F,other,other,yes,3,3,12,12,13,no,no,yes,no,yes,no
F,other,other,yes,3,5,10,11,11,no,no,yes,yes,yes,yes
F,services,services,yes,3,0,14,14,15,no,yes,yes,yes,yes,no
M,teacher,health,no,2,6,14,15,16,no,yes,no,yes,yes,no
M,other,at_home,yes,3,1,12,12,12,yes,yes,no,yes,yes,no
F,services,other,yes,2,2,16,16,16,no,yes,no,no,yes,no
F,health,teacher,no,4,3,14,14,14,no,yes,no,yes,yes,no
F,services,services,yes,5,3,10,9,14,yes,yes,no,yes,yes,yes
F,other,services,yes,4,2,10,12,10,yes,no,no,yes,yes,no
F,teacher,health,yes,4,1,12,11,11,yes,yes,yes,yes,yes,no
F,services,services,yes,4,0,12,11,11,yes,no,no,yes,yes,yes
F,teacher,services,yes,4,2,16,15,16,no,yes,no,yes,yes,no
M,other,services,yes,3,2,12,12,12,no,yes,no,yes,yes,yes
F,services,other,yes,3,2,8,8,8,yes,yes,yes,no,yes,no
F,health,services,yes,1,1,10,10,10,yes,yes,yes,no,yes,no
F,other,other,yes,4,9,16,16,16,no,yes,no,no,yes,no
M,other,other,yes,3,1,13,13,13,no,yes,yes,no,yes,no
M,other,other,yes,3,0,10,10,10,no,no,no,no,yes,no
F,other,other,yes,3,2,10,8,8,yes,yes,no,no,yes,yes
M,other,other,no,3,1,12,12,14,no,no,no,yes,yes,no
F,other,services,yes,3,29,11,12,11,yes,yes,yes,yes,yes,no
M,teacher,other,yes,3,3,10,10,10,no,yes,yes,yes,yes,no
M,teacher,other,yes,4,4,12,11,10,no,no,no,yes,yes,no
F,other,other,yes,2,0,12,12,12,no,no,yes,no,yes,yes
M,other,other,yes,5,1,8,8,10,yes,yes,no,yes,no,no
M,other,other,yes,4,12,8,8,8,yes,yes,no,yes,no,no
F,at_home,other,yes,4,13,8,8,8,no,yes,no,no,yes,no
M,other,services,yes,2,1,10,12,12,yes,yes,yes,yes,yes,yes
M,other,other,yes,3,3,10,10,10,yes,no,yes,no,yes,no
F,services,other,yes,4,7,10,8,8,no,yes,yes,no,yes,no
M,services,services,yes,3,3,14,14,14,no,no,yes,yes,yes,no
F,other,other,yes,3,2,11,11,11,no,yes,no,yes,yes,no
F,services,services,yes,4,5,10,10,10,no,no,yes,no,yes,yes
F,at_home,other,no,3,5,10,9,8,no,yes,no,no,yes,no
F,other,other,yes,3,4,14,14,14,no,yes,no,yes,yes,no
M,services,other,yes,4,9,12,10,10,no,no,yes,yes,yes,no
M,teacher,health,no,1,12,8,8,8,no,yes,no,no,yes,no
F,other,other,yes,3,1,8,9,10,no,yes,yes,no,yes,yes
F,services,other,yes,5,5,15,15,16,no,no,yes,yes,yes,no
F,other,other,no,3,2,10,10,9,yes,yes,no,no,yes,no
F,teacher,services,yes,3,1,12,12,12,no,yes,yes,yes,yes,no
M,services,health,yes,3,4,11,12,13,no,yes,no,yes,yes,no
F,at_home,other,yes,1,3,10,12,12,yes,yes,yes,yes,yes,no
M,services,other,yes,3,4,10,13,13,yes,yes,no,yes,yes,no
F,other,other,no,3,1,10,10,11,no,yes,yes,no,yes,yes
F,other,other,yes,3,5,12,14,14,no,no,no,yes,yes,no
F,other,at_home,yes,3,1,10,11,10,yes,yes,yes,no,yes,no
M,services,services,yes,5,13,8,8,6,yes,yes,yes,yes,yes,no
M,services,teacher,yes,4,0,16,16,16,no,yes,no,yes,yes,yes
M,services,other,yes,3,3,11,13,13,no,yes,no,yes,yes,no
F,services,other,yes,3,21,9,8,8,yes,yes,yes,no,yes,no
M,services,other,yes,4,0,16,17,17,no,yes,yes,yes,yes,no
F,other,health,no,3,10,10,10,10,yes,no,no,no,yes,no
F,other,other,yes,1,6,8,9,9,yes,yes,yes,no,yes,no
M,services,other,yes,3,3,14,16,16,no,yes,no,yes,yes,no
M,services,other,yes,2,1,14,15,16,no,yes,no,yes,yes,no
M,other,other,yes,3,7,11,12,12,no,yes,yes,yes,yes,yes
F,health,health,yes,4,3,14,15,15,no,yes,yes,yes,yes,yes
M,teacher,teacher,yes,5,5,16,16,16,no,no,no,yes,yes,no
F,services,other,yes,1,2,9,10,10,yes,yes,no,yes,yes,no
F,at_home,other,yes,1,9,9,12,12,yes,no,no,yes,yes,no
M,teacher,other,yes,5,10,18,18,18,no,no,no,no,yes,no
M,health,services,yes,4,6,10,9,10,no,no,no,yes,yes,yes
M,teacher,teacher,yes,4,4,16,14,15,no,yes,no,yes,yes,no
M,teacher,teacher,yes,4,9,12,12,12,no,yes,no,yes,yes,no
M,other,teacher,no,4,3,14,14,15,no,yes,no,yes,yes,no
M,other,services,yes,4,3,14,14,14,no,no,no,yes,yes,no
M,other,other,yes,2,17,10,9,10,no,yes,no,yes,yes,no
M,other,other,yes,4,4,14,13,14,no,no,no,no,yes,no
F,at_home,services,yes,2,1,15,14,14,no,no,no,no,yes,no
M,services,services,yes,5,6,15,14,14,no,yes,yes,yes,yes,no
F,other,health,yes,2,2,14,12,13,no,yes,yes,yes,yes,yes
M,health,other,yes,4,11,13,12,13,no,yes,no,yes,yes,no
F,other,other,yes,4,0,10,9,10,no,no,yes,no,yes,yes
M,services,services,yes,5,1,11,11,10,yes,no,no,no,yes,no
F,other,other,yes,3,0,8,10,11,yes,no,no,yes,yes,yes
F,at_home,other,no,4,1,8,9,10,no,yes,no,no,no,no
M,teacher,teacher,yes,5,8,16,16,16,no,no,yes,yes,yes,no
F,services,teacher,yes,2,0,11,6,6,no,yes,no,no,yes,yes
F,at_home,other,yes,3,3,10,6,6,no,yes,no,yes,yes,yes
F,other,other,yes,4,7,12,12,12,no,yes,no,no,yes,yes
F,services,other,yes,2,14,14,12,12,no,no,no,no,yes,no
M,at_home,teacher,no,3,1,10,6,6,no,yes,no,no,yes,yes
F,services,at_home,yes,3,2,12,7,8,no,yes,no,yes,yes,yes
M,at_home,other,no,4,1,10,4,5,no,no,no,no,yes,no
F,other,other,yes,3,2,6,4,5,no,yes,no,yes,yes,yes
M,services,other,no,4,0,12,11,11,no,no,no,no,yes,yes
F,teacher,teacher,yes,3,3,14,15,14,no,no,no,yes,yes,no
M,teacher,services,yes,2,3,8,10,6,yes,yes,no,no,yes,no
M,services,services,yes,3,6,10,10,10,no,yes,no,yes,yes,no
F,teacher,services,yes,2,2,11,12,12,no,yes,yes,yes,yes,no
F,at_home,at_home,yes,4,3,12,12,12,no,no,no,no,yes,no
M,other,other,yes,4,0,7,4,5,no,yes,no,no,yes,no
M,other,other,yes,4,11,7,4,3,no,yes,no,no,yes,no
F,other,services,yes,4,0,10,12,12,no,yes,yes,no,yes,no
F,health,services,yes,3,1,8,9,6,no,yes,no,no,yes,no
F,at_home,other,yes,3,4,12,12,12,no,yes,yes,no,yes,no
M,teacher,teacher,yes,4,3,12,10,7,no,yes,no,no,no,yes
M,teacher,teacher,yes,3,8,8,8,4,no,yes,no,no,no,yes
M,services,other,yes,5,0,10,10,10,no,no,no,no,yes,no
M,other,other,yes,3,0,8,7,0,no,no,no,no,no,yes
M,at_home,other,no,4,6,10,12,12,no,no,no,yes,yes,yes
F,services,services,yes,2,5,12,12,12,no,yes,yes,yes,yes,yes
M,services,at_home,yes,5,3,8,4,6,no,yes,no,no,no,yes
F,other,teacher,no,2,0,12,12,12,yes,yes,no,no,yes,yes
M,at_home,services,no,4,1,9,8,8,yes,no,yes,yes,yes,no
M,other,other,no,2,11,12,10,12,no,no,no,no,yes,no
F,at_home,other,no,2,6,10,9,10,no,yes,no,yes,yes,no
M,at_home,other,no,2,3,14,12,13,no,no,no,no,yes,no
M,other,services,yes,5,2,10,11,6,no,yes,yes,no,yes,yes
M,at_home,other,yes,3,4,8,7,4,no,no,no,yes,no,yes
M,other,services,no,3,0,6,8,8,no,no,no,yes,no,yes
M,other,other,yes,3,2,10,10,10,no,no,no,no,no,no
F,health,services,yes,2,0,16,16,17,no,no,yes,no,yes,yes
F,other,other,yes,1,0,9,10,6,no,yes,yes,no,yes,no
F,health,health,yes,4,0,15,15,16,no,yes,yes,no,yes,yes
M,other,other,yes,4,2,8,7,5,no,yes,no,yes,yes,no
M,other,other,yes,3,1,14,16,17,no,yes,yes,yes,yes,yes
M,teacher,other,yes,4,0,12,10,10,no,yes,yes,yes,yes,no
F,at_home,services,yes,3,0,11,10,6,no,no,no,yes,yes,yes
F,other,other,yes,4,2,12,12,12,no,yes,yes,yes,yes,no
M,teacher,other,yes,4,2,10,10,10,no,no,yes,yes,yes,no
F,services,other,yes,4,1,13,12,12,no,no,yes,yes,yes,no
M,other,other,yes,3,4,8,7,8,no,no,no,yes,yes,no
M,teacher,services,yes,3,9,10,8,10,no,yes,no,yes,yes,yes
M,other,other,yes,2,4,10,10,12,no,yes,no,yes,yes,yes
M,teacher,other,yes,4,7,10,9,10,no,yes,yes,yes,yes,no
M,services,other,yes,2,3,12,14,13,no,no,yes,yes,yes,yes
M,services,other,yes,2,1,12,12,12,no,no,yes,yes,yes,yes
F,services,services,no,4,0,16,18,17,no,yes,no,yes,yes,no
F,other,other,yes,3,44,12,11,11,no,yes,no,yes,yes,yes
F,other,other,yes,2,11,13,14,14,no,yes,yes,no,yes,no
M,services,services,yes,3,9,12,12,12,no,yes,no,yes,yes,yes
M,services,services,yes,3,1,10,10,11,no,yes,yes,yes,yes,yes
M,other,other,yes,2,0,14,14,16,no,no,yes,yes,yes,yes
F,health,other,yes,3,8,10,10,12,no,yes,no,no,yes,yes
M,at_home,other,no,1,5,8,9,10,no,no,no,no,yes,no
F,services,services,yes,3,8,12,12,13,no,no,no,no,yes,no
F,at_home,services,yes,3,0,10,10,10,no,no,no,yes,yes,no
M,at_home,services,yes,4,14,8,10,10,no,no,yes,yes,yes,no
M,services,services,yes,3,4,10,10,10,no,yes,no,yes,yes,no
M,other,other,yes,3,0,13,13,13,no,no,no,no,yes,no
F,services,services,yes,3,4,14,15,16,no,no,no,yes,yes,yes
M,services,teacher,yes,2,4,15,14,15,no,no,no,no,yes,no
