gender,mother_job,father_job,internet,freetime,absences,grade_1,grade_2,G3,school_support,family_support,extra_paid_class,extracurricular,higher_edu,romantic_rel
0,0,4,0,3,5,2,8,8,1,0,0,0,1,0
0,0,2,1,3,3,7,8,8,0,1,0,0,1,0
0,0,2,1,3,8,10,10,11,1,0,1,0,1,0
0,1,3,1,2,1,14,14,14,0,1,1,1,1,1
0,2,2,0,3,2,8,12,12,0,1,1,0,1,0
1,3,2,1,4,8,14,14,14,0,1,1,1,1,0
1,2,2,1,4,0,12,12,12,0,0,0,0,1,0
0,2,4,0,1,4,8,9,10,1,1,0,0,1,0
1,3,2,1,2,0,16,17,18,0,1,1,0,1,0
1,2,2,1,5,0,13,14,14,0,1,1,1,1,0
0,4,1,1,3,1,12,11,12,0,1,1,0,1,0
0,3,2,1,2,2,10,12,12,0,1,0,1,1,0
1,1,3,1,3,1,13,14,13,0,1,1,1,1,0
1,4,2,1,4,1,11,11,12,0,1,1,0,1,0
1,2,2,1,5,0,14,15,16,0,1,0,0,1,1
0,1,2,1,4,5,16,16,16,0,1,0,0,1,0
0,3,3,1,2,8,13,14,14,0,1,1,1,1,0
0,2,2,0,3,3,10,12,12,1,1,0,1,1,0
1,3,3,1,5,9,7,6,6,0,1,0,1,1,0
1,1,2,1,1,5,10,11,11,0,0,1,1,1,0
1,4,2,1,4,0,12,14,14,0,0,0,0,1,0
1,1,1,1,4,0,12,14,14,0,1,1,0,1,0
1,4,2,1,5,1,14,14,15,0,0,0,1,1,0
1,2,2,1,4,1,12,12,11,0,1,0,1,1,0
0,3,1,1,3,2,10,10,9,1,1,1,1,1,0
0,3,3,1,2,10,8,10,10,0,1,1,0,1,0
1,2,2,1,2,5,12,12,12,0,1,1,0,1,0
1,1,3,1,2,2,13,14,13,0,0,1,0,1,0
1,3,2,1,3,3,12,12,12,1,1,0,1,1,0
1,4,4,1,4,10,11,12,12,0,1,1,1,1,1
1,1,3,1,4,0,10,11,12,0,1,1,0,1,0
1,3,3,1,3,1,16,16,16,0,1,0,1,1,0
